country,nuts3,potential,year,bark_kton,sawdust_kton
AT,AT222,UD06,2020,0.0,0.0
AT,AT222,UD06,2030,0.0,0.0
AT,AT222,UD07,2012,0.0,0.0
AT,AT222,UD07,2020,0.0,0.0
AT,AT222,UD07,2030,0.0,0.0
AT,AT222,UD08,2012,0.0,0.0
AT,AT222,UD08,2020,0.0,0.0
AT,AT222,UD08,2030,0.0,0.0
AT,AT223,BASE,2012,29.0096374355064,39.38409393623002
AT,AT223,BASE,2020,24.9250804845871,34.946204016814164
AT,AT223,BASE,2030,24.9250804845871,31.13974682504245
AT,AT223,HIGH,2012,0.0,0.0
AT,AT223,HIGH,2020,0.0,0.0
AT,AT223,HIGH,2030,0.0,0.0
AT,AT223,TECH,2012,29.0096374355064,39.38409393623002
AT,AT223,TECH,2020,24.9250804845871,34.946204016814164
AT,AT223,TECH,2030,24.9250804845871,31.13974682504245
AT,AT223,UD01,2012,29.0096374355064,39.38409393623002
AT,AT223,UD01,2020,24.9250804845871,34.946204016814164
AT,AT223,UD01,2030,24.9250804845871,31.13974682504245
AT,AT223,UD02,2012,0.0,39.38409393623002
AT,AT223,UD02,2020,0.0,34.946204016814164
AT,AT223,UD02,2030,0.0,31.13974682504245
